"Temperature.C","Specific.Growth.Rate.g.g.d"
0.00,-2.50E-03
2.50,-1.25E-03
5.00,-5.00E-04
7.50,1.50E-03
10.00,3.00E-03
12.50,4.25E-03
15.00,4.50E-03
17.50,3.75E-03
20.00,2.50E-03
22.50,1.25E-03
23.75,-1.00E-02
25.00,-1.50E-02
